Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%
1,Los Angeles Lakers,29.3,16,5,0.762,15,6,115.9,108.9,7,97.3,0.293,0.407,0.595
2,Boston Celtics,25,10,7,0.588,11,6,111.3,106.3,5,96.4,0.285,0.429,0.572
3,Los Angeles Clippers,27.9,7,6,0.538,8,5,115.4,111.1,4.3,98,0.291,0.38,0.585
4,Toronto Raptors,27.1,7,4,0.636,7,4,108.3,104.2,4.1,99.1,0.24,0.455,0.559
5,Utah Jazz,26.8,3,4,0.429,4,3,122.2,118.5,3.7,91.5,0.284,0.455,0.616
6,Miami Heat,27.1,14,7,0.667,12,9,113.5,111.5,2,95.9,0.322,0.433,0.587
7,Milwaukee Bucks,29.8,5,5,0.5,5,5,109.7,108.5,1.2,100.3,0.279,0.426,0.568
8,Houston Rockets,30.2,5,7,0.417,6,6,108.3,107.5,0.8,98.6,0.235,0.545,0.569
9,Denver Nuggets,25.2,9,10,0.474,8,11,113.6,116,-2.4,94.1,0.26,0.392,0.584
10,Oklahoma City Thunder,25.7,3,4,0.429,2,5,102.4,108.7,-6.3,100.1,0.281,0.428,0.542
11,Orlando Magic,27,1,4,0.2,1,4,102.5,111.3,-8.8,104.4,0.237,0.449,0.547
12,Dallas Mavericks,26.2,2,4,0.333,1,5,112.7,122,-9.3,102.1,0.297,0.421,0.58
13,Portland Trail Blazers,26.6,1,4,0.2,1,4,104.6,115,-10.4,101.9,0.283,0.347,0.537
14,Indiana Pacers,26.2,0,4,0,1,3,104.2,115.1,-10.9,96.7,0.252,0.399,0.565
15,Philadelphia 76ers,26.4,0,4,0,1,3,105.5,117.9,-12.4,95.2,0.381,0.36,0.512
16,Brooklyn Nets,25.4,0,4,0,0,4,102.2,122,-19.8,103.5,0.268,0.504,0.51